hotel_name,location,price,review,rating,review_count,link
Hotel O Pillars House,Shillong,16932,Good,7.7,98 reviews,https://www.booking.com/hotel/in/oyo-19292-55-pillars-house-shillong12345678.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=430406602_247399715_1_0_0&highlighted_blocks=430406602_247399715_1_0_0&matching_block_id=430406602_247399715_1_0_0&sr_pri_blocks=430406602_247399715_1_0_0__1693197&from=searchresults
Super Hotel O Lapalang Shillong,Shillong,17098,Review score,5.6,21 reviews,https://www.booking.com/hotel/in/oyo-unique-residency.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1287072402_402544142_1_0_0&highlighted_blocks=1287072402_402544142_1_0_0&matching_block_id=1287072402_402544142_1_0_0&sr_pri_blocks=1287072402_402544142_1_0_0__1709828&from=searchresults
Stargaze Backpackers Shillong,Shillong,4420,Exceptional,9.5,47 reviews,https://www.booking.com/hotel/in/stargaze-backpackers-shillong.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1332834302_410152409_0_0_0&highlighted_blocks=1332834302_410152409_0_0_0&matching_block_id=1332834302_410152409_0_0_0&sr_pri_blocks=1332834302_410152409_0_0_0__442000&from=searchresults
Soma Stays Loomkyntoor Resort,Jarain,35640,NA,NA,NA,https://www.booking.com/hotel/in/soma-stays-loomkyntoor-resort.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1406082501_412393732_1_1_0&highlighted_blocks=1406082501_412393732_1_1_0&matching_block_id=1406082501_412393732_1_1_0&sr_pri_blocks=1406082501_412393732_1_1_0__3564000&from=searchresults
"Soma Stays GHM, Jowai",Jowai,25344,NA,NA,NA,https://www.booking.com/hotel/in/soma-stays-ghm-jowai.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1405791901_412374279_1_1_0&highlighted_blocks=1405791901_412374279_1_1_0&matching_block_id=1405791901_412374279_1_1_0&sr_pri_blocks=1405791901_412374279_1_1_0__2534400&from=searchresults
Isabella Hostel,Shillong,4890,Good,7.9,69 reviews,https://www.booking.com/hotel/in/isabella-hostel.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1149909701_387814020_1_42_0&highlighted_blocks=1149909701_387814020_1_42_0&matching_block_id=1149909701_387814020_1_42_0&sr_pri_blocks=1149909701_387814020_1_42_0__489024&from=searchresults
Hunsi Homestay,Cherrapunji,19584,NA,NA,NA,https://www.booking.com/hotel/in/nity-homestay.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1379914801_410108357_1_0_0&highlighted_blocks=1379914801_410108357_1_0_0&matching_block_id=1379914801_410108357_1_0_0&sr_pri_blocks=1379914801_410108357_1_0_0__1958400&from=searchresults
ArJe's Boys Hostel and Dormitory,Shillong,4000,Good,7.8,18 reviews,https://www.booking.com/hotel/in/dormitory-at-arjes-boys-hostel.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1249155001_397264610_1_0_0&highlighted_blocks=1249155001_397264610_1_0_0&matching_block_id=1249155001_397264610_1_0_0&sr_pri_blocks=1249155001_397264610_1_0_0__400000&from=searchresults
AURORA GUEST HOUSE,Shillong,14580,Good,7.9,26 reviews,https://www.booking.com/hotel/in/aurora-guest-house-upper-shillong.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=972635211_410676200_1_41_0&highlighted_blocks=972635211_410676200_1_41_0&matching_block_id=972635211_410676200_1_41_0&sr_pri_blocks=972635211_410676200_1_41_0__1458000&from=searchresults
Risa homestay,Shillong,13600,NA,NA,NA,https://www.booking.com/hotel/in/risa-homestay.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1364511001_408751191_1_0_0&highlighted_blocks=1364511001_408751191_1_0_0&matching_block_id=1364511001_408751191_1_0_0&sr_pri_blocks=1364511001_408751191_1_0_0__1360000&from=searchresults
Dew Drop In,Shillong,22528,Wonderful,9.1,74 reviews,https://www.booking.com/hotel/in/dew-drop-in.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=157996601_360969996_2_0_0&highlighted_blocks=157996601_360969996_2_0_0&matching_block_id=157996601_360969996_2_0_0&sr_pri_blocks=157996601_360969996_2_0_0__2252800&from=searchresults
The Ark Guest House - Shillong,Shillong,14400,Good,7.7,137 reviews,https://www.booking.com/hotel/in/the-ark-guest-house-shillong.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1011306908_383470572_1_2_0&highlighted_blocks=1011306908_383470572_1_2_0&matching_block_id=1011306908_383470572_1_2_0&sr_pri_blocks=1011306908_383470572_1_2_0__1440000&from=searchresults
Soma Stays Divine Grace,Shillong,25920,NA,NA,NA,https://www.booking.com/hotel/in/soma-stays-divine-grace.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1406350101_412424243_2_1_0&highlighted_blocks=1406350101_412424243_2_1_0&matching_block_id=1406350101_412424243_2_1_0&sr_pri_blocks=1406350101_412424243_2_1_0__2592000&from=searchresults
MANNA INSPIRA,Shillong,5600,Wonderful,9.0,258 reviews,https://www.booking.com/hotel/in/manna-inspira-shillong1.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=708746802_339289856_1_1_0&highlighted_blocks=708746802_339289856_1_1_0&matching_block_id=708746802_339289856_1_1_0&sr_pri_blocks=708746802_339289856_1_1_0__560000&from=searchresults
Shillong Perk Guest House,Shillong,17640,NA,NA,NA,https://www.booking.com/hotel/in/shillong-perk-guest-house.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1367883901_409032877_1_0_0&highlighted_blocks=1367883901_409032877_1_0_0&matching_block_id=1367883901_409032877_1_0_0&sr_pri_blocks=1367883901_409032877_1_0_0__1764000&from=searchresults
